Algorithm,Problem,Run,Error_10K,Error_50K,Error_100K,Error_150K,Error_200K,Error_250K,Error_300K,Error_350K,Error_400K,Error_450K,Error_500K,Acceptance_FE_1e-8,Success_1e-8,FE_to_1e-01,Success_1e-01,FE_to_1e-03,Success_1e-03,FE_to_1e-05,Success_1e-05,FE_to_1e-08,Success_1e-08
PSO,F7,Run15,3062.898311491979,1648.817094819063,1606.7950913569819,1581.8341808793018,1575.4951344270628,1572.1927000399621,1570.6468844399803,1570.086414211822,1569.8769115561452,1569.7167845472773,1569.6149723609567,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run16,8395.5209897164,8395.488600146886,8395.488600146886,8395.488600146886,8395.488600146886,8395.488600146886,8395.488600146886,8395.488600146886,8395.488600146886,8395.488600146886,8395.488600146886,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run17,2543.1614889811203,2520.3234914501063,2504.9847306145216,2500.6342510752006,2499.3002020892527,2498.456375638795,2498.154636784359,2497.832983399828,2497.473679980235,2497.2638852249925,2496.9896321419437,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run18,7348.530613724775,6977.07776621493,6975.890244223755,6975.719170990444,6975.701620383448,6975.69981108565,6975.699457713649,6975.699407594556,6975.699398077756,6975.699396955996,6975.69939675241,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run19,1639.3407169658544,1597.6370976963947,1584.0602672813734,1575.57661175723,1571.1858497711714,1569.8130024709196,1569.283372774441,1569.0354930659591,1568.933249425563,1568.8994384658026,1568.8764314033124,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run20,1358.0885441772455,733.5562431472231,451.0486086432135,393.021843071591,348.8118750334513,316.7282460595564,287.12444500799126,274.48294955694496,265.1338171779168,258.50185864298913,252.41299933433623,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run21,4106.10209125296,4059.27464612305,4056.4455420751183,4056.1499790931466,4055.8584371812112,4055.626907892647,4055.4346485066244,4055.280173954224,4055.149709135096,4055.00811264427,4054.8962520023506,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run22,8410.798344725737,8360.054984167231,8357.485381563838,8357.432842309663,8357.43096148981,8357.430877627196,8357.430874428108,8357.430874306187,8357.430874268834,8357.430874193768,8357.430874128062,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run23,3103.8116628256566,2586.227121909954,2586.2268646027032,2586.226641125115,2586.22651017762,2586.2263551948613,2586.226240569635,2586.2261365109703,2586.2260792864104,2586.2260100528683,2586.2259634963716,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run24,1742.6691741869943,1159.6685414822803,1028.5719085988385,898.3831548115461,827.1498650114672,761.5778066122436,682.7134565408797,622.9523219566424,559.4015461664612,500.47213268721146,449.28568621873836,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run25,8162.752755314814,8151.502120473877,8151.050123177483,8151.026223842955,8151.023201153748,8151.021051694685,8151.019288521961,8151.0178760734,8151.017032313033,8151.015552057605,8151.014450755913,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run1,310.91934872099944,260.333219769795,260.333214119624,260.333214119624,260.333214119624,260.333214119624,260.333214119624,260.333214119624,260.333214119624,260.333214119624,260.333214119624,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run2,344.2687268979614,341.44561936839455,341.44561936838176,341.44561936838176,341.44561936838176,341.44561936838176,341.44561936838176,341.44561936838176,341.44561936838176,341.44561936838176,341.44561936838176,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run3,378.23922872184005,365.3953972532496,365.39539724159516,365.3953972415951,365.3953972415951,365.3953972415951,365.3953972415951,365.3953972415951,365.3953972415951,365.3953972415951,365.3953972415951,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run4,437.83797845813507,368.05855196004256,368.058551240203,368.058551240203,368.058551240203,368.058551240203,368.058551240203,368.058551240203,368.058551240203,368.058551240203,368.058551240203,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run5,324.7155185332317,294.7533306568632,294.75317013267926,294.7531701326792,294.7531701326792,294.7531701326792,294.7531701326792,294.7531701326792,294.7531701326792,294.7531701326792,294.7531701326792,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run6,466.6354380876315,421.0108646480637,420.9835467676878,420.983546767687,420.983546767687,420.98354676768696,420.98354676768696,420.98354676768696,420.98354676768696,420.98354676768696,420.98354676768696,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run7,390.6378616022108,386.93363896480594,386.93363896313457,386.9336389631345,386.9336389631345,386.93363896313446,386.93363896313446,386.93363896313446,386.93363896313446,386.93363896313446,386.93363896313446,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run8,344.7612921789921,253.99987540478872,253.99867166822062,253.99867166822057,253.99867166822054,253.99867166822054,253.99867166822054,253.99867166822054,253.99867166822054,253.99867166822054,253.99867166822054,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run9,400.9041831241265,394.7456359243558,394.74563592038766,394.74563592038766,394.74563592038766,394.74563592038766,394.74563592038766,394.74563592038766,394.74563592038766,394.74563592038766,394.74563592038766,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run10,423.1232267442871,326.54099058645943,326.5409902920293,326.5409902920293,326.5409902920293,326.54099029202916,326.54099029202916,326.54099029202916,326.54099029202916,326.54099029202916,326.54099029202916,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run11,465.57917932322607,439.17337423029585,439.17337421797777,439.17337421797777,439.17337421797777,439.1733742179777,439.1733742179777,439.1733742179777,439.1733742179777,439.1733742179777,439.1733742179777,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run12,433.3166631358169,370.3346478538696,370.33464768834114,370.33464768834114,370.33464768834114,370.33464768834114,370.33464768834114,370.33464768834114,370.33464768834114,370.3346476883411,370.3346476883411,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run13,395.2169364543256,341.9038715762051,341.9038713649275,341.90387136492745,341.90387136492745,341.90387136492745,341.90387136492745,341.90387136492745,341.90387136492745,341.90387136492745,341.90387136492745,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run14,289.07426678748885,286.38366326251185,286.3836632624731,286.3836632624731,286.3836632624731,286.383663262473,286.383663262473,286.383663262473,286.383663262473,286.383663262473,286.383663262473,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run15,401.08193520750984,319.5658318270192,319.565831776048,319.565831776048,319.565831776048,319.565831776048,319.565831776048,319.565831776048,319.565831776048,319.565831776048,319.565831776048,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run16,351.6179172236273,345.3640073604782,345.36400733816896,345.36400733816896,345.36400733816896,345.36400733816896,345.36400733816896,345.36400733816896,345.36400733816896,345.36400733816896,345.36400733816896,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run17,400.88834650287276,396.51197829247906,396.5119782924705,396.5119782924704,396.5119782924704,396.5119782924704,396.5119782924704,396.5119782924704,396.5119782924704,396.5119782924704,396.5119782924704,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run18,438.26444192822004,376.8987129491797,376.89866475398713,376.89866475398713,376.8986647539871,376.8986647539871,376.8986647539871,376.8986647539871,376.8986647539871,376.8986647539871,376.8986647539871,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run19,421.7136558464832,414.1830722260841,414.1830721600198,414.1830721600198,414.1830721600198,414.1830721600198,414.1830721600198,414.1830721600198,414.1830721600198,414.1830721600198,414.1830721600198,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run20,429.10318563302593,395.0053854179589,395.0053851162809,395.0053851162808,395.0053851162808,395.0053851162808,395.0053851162808,395.0053851162808,395.0053851162808,395.0053851162808,395.0053851162808,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run21,366.90017522249093,329.10098696903384,329.1009027964105,329.10090279641037,329.10090279641037,329.10090279641037,329.10090279641037,329.10090279641037,329.10090279641037,329.10090279641037,329.10090279641037,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run22,378.9363400171762,363.3371439764787,363.33714345979774,363.33714345979774,363.33714345979774,363.3371434597977,363.3371434597977,363.3371434597977,363.3371434597977,363.3371434597977,363.3371434597977,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run23,345.2313734817223,313.7157645688571,313.71574433167723,313.71574433167723,313.71574433167723,313.71574433167723,313.7157443316772,313.7157443316772,313.7157443316772,313.7157443316772,313.7157443316772,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run24,378.000546488868,302.8309497119422,302.83089756681045,302.83089756681045,302.83089756681045,302.83089756681045,302.83089756681045,302.83089756681045,302.83089756681045,302.83089756681045,302.83089756681045,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run25,253.66783817667152,224.980377856282,224.98037785367674,224.98037785367674,224.98037785367674,224.98037785367674,224.98037785367674,224.98037785367674,224.98037785367674,224.98037785367674,224.98037785367674,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run1,11873.544991611108,10571.398786860778,10569.77018178458,10569.633036166246,10569.603028971125,10569.596287175998,10569.592745097903,10569.590802932344,10569.588641653254,10569.586854501678,10569.585814490778,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run2,11648.398654702618,11143.881451949406,11098.696690998608,11086.949981659383,11083.754159761349,11082.713123871583,11081.858752067265,11081.344672699803,11080.864557900259,11080.374346147173,11079.954418426834,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run3,14704.388898100491,14462.09834965669,14459.184997347384,14457.68239051104,14456.47829303929,14439.047147418712,14438.04139010715,14437.529037786415,14437.181110602345,14436.968073603608,14436.8125370234,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run4,18891.91502132232,18720.989693958236,18484.559939839917,18484.16837322888,18483.953122113013,18483.838161045576,18483.758846335375,18483.703617274932,18483.663227996723,18483.61079407402,18483.565617208475,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run5,12525.595214143394,11645.136855919274,11141.783985968637,11063.090673186376,11054.349895414949,11051.557408345061,11050.576104590857,11050.132095477687,11049.855908584703,11049.650327530904,11049.480124731768,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run6,20076.016200554313,20017.658734126504,20016.467447852654,20016.065430754406,20015.94949059208,20015.903193820377,20015.886558776092,20015.881064617406,20015.878840625683,20015.876977305295,20015.87502315947,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run7,13467.224552389187,13135.704367256285,13135.01870884542,13134.512263632483,13134.173454735082,13133.771366802664,13133.45888109641,13133.121971522996,13132.875693049902,13132.574300652825,13132.36983326543,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run8,13298.681785248744,13030.30493471708,13029.427907334242,13029.150993432557,13028.97100601901,13028.852264517704,13028.71484856918,13028.55469381148,13028.444385694864,13028.362022616217,13028.290828087698,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run9,4870.226464346594,4626.446231629322,4622.288423280542,4621.222931836554,4620.913779231481,4620.749128019908,4620.669355465997,4620.6048995863775,4620.567962715041,4620.5172935246455,4620.475056503499,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run10,17816.66277085401,17779.026469848934,17778.563091015538,17778.15936277752,17777.971804992652,17777.72811075242,17777.514460231218,17777.308596248582,17777.053919626862,17776.84572948656,17776.62622761735,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run11,16299.802854082614,16213.747077184815,16213.523499094768,16213.377793011385,16213.284274828278,16213.190184696143,16213.120218838209,16213.051340292412,16213.00312138409,16212.955224087551,16212.916043267065,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run12,21994.507188733263,21716.729327281944,21712.145507121102,21709.521649599443,21707.803512562965,21706.541105757486,21705.89450524811,21705.34457014369,21704.927989651664,21704.634441118378,21704.43310412557,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run13,13171.504316329418,13067.032608671907,13066.834450724127,13053.891248814301,13053.618863483458,13053.367931079934,13053.081319691226,13052.782799713174,13052.40617224003,13051.970748200141,13051.616445217429,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run14,17616.472234960063,17482.065406422233,17480.53510043588,17474.98922568935,17474.17792333543,17364.675287560087,17362.449678362715,17361.763970867054,17361.248587713366,17360.85337962914,17360.544324253297,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run15,5170.047643137117,4961.132595360279,4772.9668248638145,4721.266134034063,4700.568974488611,4683.9049977613995,4669.9323077083845,4658.451203643507,4646.769062767249,4637.853835782769,4629.75901546253,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run16,17340.452747271098,17294.358268084263,17294.239133910804,17294.16914345301,17294.121980736225,17294.089602093685,17294.066187523058,17294.045583149193,17294.02746239602,17294.005931070078,17293.987857501583,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run17,11021.052602990867,10797.84688757802,10792.028004756694,10788.72647032064,10786.21315081582,10785.049412160477,10783.88151897478,10782.94621864054,10782.314520305357,10781.914061741661,10781.246024383787,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run18,34624.45105563142,34602.17616447559,34598.78489319292,34595.96363190241,34594.57742884323,34593.96948708594,34593.63910409757,34593.50745440487,34593.38437874792,34593.301981569646,34593.224991186275,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run19,19443.73962872969,19119.218187190727,19118.886033748902,19118.782224932467,19118.729682394853,19118.706120960836,19118.693204016632,19118.680752432432,19118.670296074604,19118.663480415395,19118.644800857848,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run20,10746.222280117168,10375.529717189615,10371.799167034407,10368.435384621118,10366.200690943611,10363.505479336285,10361.32042251265,10359.640799094186,10357.367909669721,10355.864329094107,10354.84328521361,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run21,25403.96150918641,24808.258362648736,24808.231632405,24808.203774557085,24808.18189074613,24808.161807120916,24808.14043163714,24808.121916853626,24808.103242841513,24808.08657692493,24808.073140988,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run22,15636.539995793788,15545.83763200174,15544.004628730487,15543.368487412976,15542.976052980206,15542.268298637067,15541.87366895202,15541.424584391141,15541.139583781625,15540.893867526362,15540.687477366906,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run23,16589.412536062366,16272.624836023277,16269.606419905494,16268.661362426701,16268.38395006907,16268.252197870443,16268.140930231144,16268.049830323173,16267.968294862843,16267.878930266053,16267.799687372864,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run24,9687.028585543054,9168.206342022908,9122.903717110845,9104.104203487672,9090.397743751282,9074.482243528944,9057.239698551799,9042.318929671013,9018.366069693499,8976.286201221035,8949.690907580243,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run25,11799.455085957276,11325.681888196392,11322.529667066572,11321.723173470453,11321.436666862659,11321.336020353345,11317.420410511075,11317.367844030436,11317.335338410505,11317.295967427623,11317.26504735471,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F23,Run1,23.229831106069568,21.610708112293338,21.60992178264422,21.609018954592585,21.608726286260463,21.608444974816777,21.608444974816777,21.425487223108178,21.425325852887553,21.42212171167526,21.421864962289888,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F23,Run2,24.89051891024829,23.705359262534046,23.70410694675411,23.703210295133005,23.703210295133005,23.703210295133005,23.703210295133005,23.703210295133005,23.703210295133005,23.702811166298147,23.702811166298147,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F23,Run3,23.86470243091337,23.30305052708492,23.30305052708492,23.302411530683543,23.302411530683543,23.302411530683543,23.302411530683543,23.302411530683543,23.302411530683543,23.302411530683543,23.302411530683543,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F23,Run4,24.297084734994712,22.460318222264448,22.4584388357068,22.4584388357068,22.4584388357068,22.4584388357068,22.4584388357068,22.4584388357068,22.4584388357068,22.4584388357068,22.4584388357068,nan,0,nan,0,nan,0,nan,0,nan,0
