Algorithm,Problem,Run,Error_10K,Error_50K,Error_100K,Error_150K,Error_200K,Error_250K,Error_300K,Error_350K,Error_400K,Error_450K,Error_500K,Acceptance_FE_1e-8,Success_1e-8,FE_to_1e-01,Success_1e-01,FE_to_1e-03,Success_1e-03,FE_to_1e-05,Success_1e-05,FE_to_1e-08,Success_1e-08
PSO,F1,Run1,2.7119797654414413,0.9487883388546692,0.7497351528038791,0.7497351528038791,0.7497351528038791,0.7497351528038791,0.7497351528038791,0.7497351528038791,0.7497351528038791,0.7497351528038791,0.7497351528038791,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run2,0.7762338138163756,0.04585530047735631,0.04121181994935341,0.04102873046542754,0.04102873046542754,0.04102873046542754,0.04102873046542754,0.04102873046542754,0.04102873046542754,0.04102873046542754,0.04102873046542754,nan,0,18251.0,1,nan,0,nan,0,nan,0
PSO,F1,Run3,69.5176488110102,69.51759351699728,69.51759351699728,69.51759351699728,69.51759351699728,69.51759351699728,69.51759351699728,69.51759351699728,69.51759351699728,69.51759351699728,69.51759351699728,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run4,49.697210238642334,49.697200027157336,49.697200027157336,49.697200027157336,49.697200027157336,49.697200027157336,49.69720002715733,49.69720002715733,49.69720002715733,49.69720002715733,49.69720002715733,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run1,1776.6218855461468,1065.2940778000784,1005.5718397751347,1003.5037439615846,1002.9053949785032,1002.3796546504251,1002.3751308255668,1000.5590325036696,1000.5155988782517,1000.5094547588712,1000.4984953224771,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run2,1983.4304778097437,1667.4958488994857,1667.3798577614236,1667.372929399439,1665.878850120132,1665.5835128436613,1664.9595631518528,1664.796060635116,1664.796060635116,1664.7482162608521,1664.7481741660115,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run3,477.26708321379556,402.40058977425605,401.02890282178635,400.51720068687206,400.0536505329498,398.9963169374565,398.9564091356241,398.4302945687085,398.4192640834707,398.35403727106717,398.35403727106717,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run4,1201.3437636981164,1170.040809873256,1169.3894198376531,967.1155320375564,898.4069963882856,886.6830694922548,850.414023141136,826.4166786721394,787.9125617038366,783.5335537428184,778.5604162306813,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run1,465.5308779725262,353.38933960016436,353.3893308249215,353.3893308249215,353.3893308249215,353.3893308249215,353.3893308249215,353.3893308249215,353.3893308249215,353.3893308249215,353.3893308249215,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run2,365.4036299990954,304.88601690870024,296.8800996333835,296.8800994580943,296.8800994580943,296.88009945809426,296.88009945809426,296.88009945809426,296.88009945809426,296.88009945809426,296.88009945809426,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run3,311.9148249197695,210.0035574690611,210.0018107175629,210.00181071756285,210.00181071756285,210.00181071756285,210.00181071756285,210.00181071756285,210.00181071756285,210.00181071756285,210.00181071756285,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run4,257.85807002406483,198.04220984297456,198.04216051162211,198.04216051162211,198.04216051162211,198.04216051162211,198.04216051162211,198.04216051162211,198.04216051162211,198.04216051162211,198.04216051162211,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run1,15194.834608364357,14584.701378228905,14027.91513706218,13986.222107853011,12689.763468472634,12589.354423657433,12583.31947986235,12515.264143056562,12515.079332703497,12515.029358378717,12514.935528419643,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run2,11961.161806723903,11504.959725824798,11481.222032388358,10694.679029311937,10630.326313880816,10629.90284112708,10211.051509634297,10207.184151909987,10207.043860749067,10206.623723926614,10206.267782191422,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run3,26591.22043332168,22024.954196058687,22023.112255831475,22019.98402332921,22019.981359329657,22019.981359329657,22019.816939554326,22019.81670515677,22019.81670515677,21878.542095650606,21851.880564175313,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run4,16369.82711387983,15879.618539643816,15879.361863037455,15879.355874237088,15879.355874237088,15879.354671271145,15863.565264201981,15863.483247386712,15863.48324667802,15863.48324667802,15863.482156300453,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F23,Run1,23.360766926913172,21.36679059012849,21.215997186271153,21.18720567717037,21.175839145653157,21.175839145653157,21.170907660856614,21.17053799141698,21.17014556575218,21.17014556575218,21.17014556575218,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F23,Run2,24.29196643156064,23.675761930914916,23.608002744089475,23.60757524266006,23.607028246520002,23.607028246520002,23.607028246520002,23.606965010878156,23.606965010878156,23.182159616368892,22.85397321372136,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F23,Run3,23.764015967912854,21.70342166622507,20.887282893497044,20.720708396173833,20.680322673243907,20.542695986865937,20.52122278586728,20.50707469646433,20.50707469646433,20.50707469646433,20.50707469646433,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F23,Run4,23.179948700067698,21.325684020211654,21.04806511863862,21.044370062816682,21.04390167810837,21.04360306684876,21.042426273163073,21.04191495378923,21.04191495378923,21.04191495378923,21.04185267312471,nan,0,nan,0,nan,0,nan,0,nan,0
