Algorithm,Problem,Run,Error_10K,Error_50K,Error_100K,Error_150K,Error_200K,Error_250K,Error_300K,Error_350K,Error_400K,Error_450K,Error_500K,Acceptance_FE_1e-8,Success_1e-8,FE_to_1e-01,Success_1e-01,FE_to_1e-03,Success_1e-03,FE_to_1e-05,Success_1e-05,FE_to_1e-08,Success_1e-08
PSO,F1,Run1,48.808818210700316,43.40141382726958,43.40105504092815,43.4010550240351,43.40105502403487,43.40105502403487,43.40105502403487,43.40105502403487,43.40105502403486,43.40105502403486,43.40105502403486,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run2,63.65970627298138,58.358054545209924,58.357948440935665,58.35794844021698,58.35794844021693,58.35794844021692,58.35794844021692,58.35794844021692,58.35794844021692,58.35794844021692,58.35794844021692,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run3,72.61105022714312,68.0689397843364,68.06891891472058,68.06891891392463,68.0689189139246,68.0689189139246,68.0689189139246,68.0689189139246,68.0689189139246,68.0689189139246,68.0689189139246,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run4,50.53363038428099,45.378487137703864,45.37732205473728,45.37732204674171,45.377322046741554,45.377322046741554,45.377322046741554,45.377322046741554,45.377322046741554,45.377322046741554,45.377322046741554,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run5,74.50491762843313,73.06239854856908,73.06238476394664,73.06238476370918,73.06238476370913,73.06238476370913,73.06238476370913,73.06238476370913,73.06238476370913,73.06238476370913,73.06238476370913,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run1,4009.772109572506,2539.3628923844044,2051.8341799445,1998.2551630144194,1994.1432576196426,1992.2397033238185,1991.171740460453,1990.5019255793025,1989.4016767980186,1988.459459434361,1987.4652339559998,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run2,3446.530657896254,1903.2639673624185,1602.4836881079532,1457.8922581743454,1358.1599835821069,1321.1014124707044,1268.0539641785704,1195.2394588131897,1172.2009567920427,1159.5111508144457,1136.812302255663,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run3,2823.8606995522223,853.3554809095167,824.6601726975329,816.7815461375441,810.4972964204587,808.3072498314283,806.1120244294966,804.6725610329511,804.0316179099304,803.2697102642933,802.6231576505573,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run4,4854.042899551654,2069.859946959927,2007.6305199587384,1954.0045879645743,1917.885685487039,1904.5680330889797,1892.9829773800734,1882.696583155338,1872.9737260981162,1857.9595955544198,1849.1580321292377,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run5,4441.918241585717,1756.6018404791187,1732.6863885549762,1727.7161230257584,1724.9126956493362,1723.9270140518997,1723.5919394527293,1723.1686226744505,1722.9906763260049,1722.8699982475107,1722.7869225346171,nan,0,nan,0,nan,0,nan,0,nan,0
