Algorithm,Problem,Run,Error_10K,Error_50K,Error_100K,Error_150K,Error_200K,Error_250K,Error_300K,Error_350K,Error_400K,Error_450K,Error_500K,Acceptance_FE_1e-8,Success_1e-8,FE_to_1e-01,Success_1e-01,FE_to_1e-03,Success_1e-03,FE_to_1e-05,Success_1e-05,FE_to_1e-08,Success_1e-08
PSO,F1,Run1,61.5455024005103,41.75170160677985,21.197299584835747,17.290441064435228,17.290437873924844,16.84214290497755,16.84214288955988,13.425316621832906,13.216281452044214,13.184015477881644,13.184015477881644,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run2,74.20826702011063,66.72732371431555,65.60269665067352,65.26922687798081,65.22648465630743,65.22648465630742,65.22648465630742,65.22648465630742,65.22648465630742,65.22648465630742,65.22648465630742,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run3,96.32518464562297,93.6970605719051,93.40443530980714,93.28939173637515,93.27592778311765,93.27228673540642,93.2722867354064,93.2722867354064,93.2722867354064,93.2722867354064,93.2722867354064,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run4,74.78199004209364,67.5333641497505,67.14358040790583,67.09250166651388,67.00701175448275,66.94429937961729,66.94429221166855,66.88019548542502,66.87994540281626,66.87993210780397,66.85086877576278,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run5,80.25068557249848,70.12617174817477,69.75455326743851,69.70045636123943,69.60132692634679,69.60132692632533,69.60132692632533,69.5650065611467,69.56236028741661,69.56236028741661,69.56236028741652,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run1,5258.504536542024,3034.098492716367,2689.6108735684074,2427.7001109267285,2348.6697288396444,2076.9693088373883,2069.7281008602217,1909.5834657311573,1872.2631497118923,1872.263148222838,1872.263148222838,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run2,10275.99531590183,9843.095563461651,9794.077578238845,9783.517492245717,7251.830787150144,7154.715645808107,7123.443299121438,7097.512003191331,7097.404225033887,7094.302238314284,7094.302160965445,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run3,10488.103652798487,9804.47083791744,9779.060582936841,9756.35581591007,9751.639402559644,9750.759092368087,9749.97206900813,9748.836157325637,9748.756536344059,9748.756461061474,9748.756461055567,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run4,10397.40489632792,7927.76109489064,7906.682059702207,7905.108351368315,7900.129504209034,7899.247138766093,7899.017011798217,7899.017011785451,7899.01701178545,7899.017011785449,7899.017011785449,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run5,6162.186339339422,3752.835170227109,2289.9983700853,1536.8576419829503,1495.5820400126179,1458.3314047096608,1458.3309492911355,1458.3309492911355,1381.2349780803936,1293.559223219108,1202.4068313235914,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run1,402.37960184577156,338.7887366938741,336.89579828305693,336.8957982830564,336.8957982830564,310.92848908826153,248.4939323867045,236.75194680731417,236.5882120136638,236.5882104237846,236.58821042377318,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run2,407.44962701794327,355.5192392964384,353.9082981598213,330.9188517416834,316.2370560131044,273.435070012012,266.49816710149054,234.7676361859805,234.74767559244762,234.7476755164226,234.7476755164226,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run3,504.7950155376396,329.8500000643487,294.90752377628473,294.669451075788,294.66945064012396,294.6691044673935,294.66910446738837,294.66910446738837,294.66910446738837,294.66910446738837,294.66910446738837,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run4,410.8413594883579,327.76252246798725,286.750094336855,281.4604270841996,281.46042701577653,281.46042701577653,245.32924624166097,236.3397012862356,232.2989311602393,232.298931160096,223.64593558777648,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run5,483.79722683008544,386.14711422072367,366.09967132445485,343.28745402332197,309.7059533296159,302.8767157330238,302.8767157330236,302.8767157330236,302.8767157330236,302.8767157330236,302.8767157330236,nan,0,nan,0,nan,0,nan,0,nan,0
