Algorithm,Problem,Run,Error_10K,Error_50K,Error_100K,Error_150K,Error_200K,Error_250K,Error_300K,Error_350K,Error_400K,Error_450K,Error_500K,Acceptance_FE_1e-8,Success_1e-8,FE_to_1e-01,Success_1e-01,FE_to_1e-03,Success_1e-03,FE_to_1e-05,Success_1e-05,FE_to_1e-08,Success_1e-08
PSO,F1,Run1,144.46271756239358,144.46271756239358,143.9460022318389,143.9460022318389,143.88835250277995,143.88835250277995,143.88835250277995,143.88835250277995,143.88835250277995,143.7734613442384,143.7734613442384,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run2,140.4604743618293,132.60488047796275,131.37334751114147,131.37334751114147,131.37334751114147,131.37334751114147,131.17758603307175,130.89003639034004,130.89003639034004,130.89003639034004,130.89003639034004,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run3,118.21522914189417,117.71743604223802,117.152508936932,116.7909075343187,116.52169921423855,116.5216992142374,116.52169921423716,116.5216992142371,116.52169921423682,116.52169921423604,116.52169921423533,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F1,Run4,123.1020575105254,121.38237240052528,120.13043923416865,120.13043923416865,119.95601184899935,118.84871716161248,118.5303386606927,118.5303386606927,118.5303386606927,118.5303386606927,118.5303386606927,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run1,17607.582559712013,17535.69640653395,17529.911756439476,17510.203763213383,17458.517680481524,17458.517680481407,17458.517680481407,17458.517680481407,17458.517680481407,17458.517680481407,17394.89648850408,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run2,13400.437227131139,13332.049826294877,13332.049826294877,13332.049826294877,13332.049826294877,13332.049826294877,13278.258336975825,13278.258336975825,13278.258336975825,13278.258336975825,13278.258336975825,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run3,15285.474728956784,15139.938327482356,15135.108211810895,15135.108211810895,15109.925262338129,15103.81451710863,15102.715974296674,15100.745949465278,15100.745949465278,15100.745949465278,15100.745949465278,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F7,Run4,12680.06522548565,12462.44662291364,12273.06443293576,12265.928844067268,12265.0307306943,12265.03073069426,12265.03073069424,12265.0307306942,12265.0307306942,12265.0307306942,12265.0307306942,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run1,534.2914477117445,515.18938463016,515.18938463016,514.1881980601534,510.1997300561391,508.5466006277256,506.032939546604,506.032939546604,506.032939546604,506.032939546604,506.032939546604,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run2,507.8923825321316,431.5579968635715,371.73660215734355,371.73660215734355,371.73660215734355,371.73660215734355,371.73660215734355,371.73660215734355,371.73660215734355,371.73660215734355,371.73660215734355,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run3,599.6860840957071,539.5371513376498,532.5878338818993,531.3250216408172,522.005406863265,522.005406863265,522.005406863265,518.5215441811697,518.5215441811697,518.5215441811697,518.5215441811697,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F11,Run4,537.0266624094272,511.2942141324996,511.2906934481913,511.2906934481913,497.55355292621493,496.55955346528617,496.55955346528617,488.4271975713955,488.38552703487454,487.48816524693905,487.48816524693905,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run1,53471.17875767577,53173.18787750662,49176.71684963027,48322.89593519413,45923.34706071314,45923.34706071314,45923.34706071314,45923.34706071314,45298.27366311907,43738.308889779924,43738.308889779924,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run2,51268.97123198125,45219.67472689348,44147.073270521985,44147.073270521985,43666.64425237923,43543.58398319264,43360.056475128185,43360.056475128185,43360.056475128185,43127.03169537315,43127.03169537315,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run3,32219.950801337436,29939.12610146985,29887.379723500642,27497.05006422807,26765.756573053564,25124.058075748184,25124.058075748184,24700.298566010486,24636.32510765149,24636.32510765149,24636.32510765149,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F17,Run4,34681.88095784816,32354.45649439002,29110.768060160237,29110.768060160237,29110.768060160237,29110.768060160237,29110.768060160237,29110.768060160237,29110.768060160237,27798.725023736893,27798.725023736893,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F23,Run1,25.28268298340197,22.84880735617226,22.84880735617226,22.84880735617226,22.84880735617226,22.84880735617226,22.84880735617226,22.84880735617226,22.84880735617226,22.84880735617226,22.84880735617226,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F23,Run2,25.325298934327094,23.190698669571162,23.064185108978577,23.064185108978577,23.064185108978577,23.064185108978577,22.79471788897861,22.738084931540698,22.600996836641983,22.600996836641983,22.600996836641983,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F23,Run3,23.200852454924544,21.762490014807682,21.762490014807682,21.616570114202403,21.616570114202403,21.616570114202403,21.616570114202403,21.616570114202403,21.56983024365387,21.56983024365387,21.56983024365387,nan,0,nan,0,nan,0,nan,0,nan,0
PSO,F23,Run4,24.78240743765562,23.457680913045166,22.722988593873964,22.560984885245688,22.006267743865365,21.6482376232959,21.6482376232959,21.6482376232959,21.6482376232959,21.512020159053336,21.106164194676253,nan,0,nan,0,nan,0,nan,0,nan,0
