Algorithm,Problem,Run,Error_10K,Error_50K,Error_100K,Error_150K,Error_200K,Error_250K,Error_300K,Error_350K,Error_400K,Error_450K,Error_500K,Acceptance_FE_1e-8,Success_1e-8,FE_to_1e-01,Success_1e-01,FE_to_1e-03,Success_1e-03,FE_to_1e-05,Success_1e-05,FE_to_1e-08,Success_1e-08
DErand1bin,F1,Run1,59.43928680926298,2.0329591786894525,0.033286947439151504,0.00048787681429018903,8.017688756467578e-06,1.5175307055415033e-07,0.0,0.0,0.0,0.0,0.0,272601.0,1,86601.0,1,142801.0,1,196801.0,1,272601.0,1
DErand1bin,F1,Run2,56.058475540659366,2.3383091356211594,0.03926971287559411,0.0006377966189887729,1.0474910880020616e-05,1.4852157903533225e-07,0.0,0.0,0.0,0.0,0.0,271001.0,1,89301.0,1,143601.0,1,200101.0,1,271001.0,1
DErand1bin,F1,Run3,67.04762334910058,2.7612024813438154,0.040624627465120966,0.0007241000442661516,1.0500781272071436e-05,1.1895868112787866e-07,0.0,0.0,0.0,0.0,0.0,268901.0,1,89901.0,1,145701.0,1,200101.0,1,268901.0,1
DErand1bin,F1,Run4,63.00605902099164,2.333082628115278,0.035875355298884415,0.0007820467776014084,1.262020401782138e-05,1.909540259248388e-07,0.0,0.0,0.0,0.0,0.0,276301.0,1,86801.0,1,146201.0,1,203801.0,1,276301.0,1
DErand1bin,F7,Run1,8113.61825191278,2707.3748075247813,1198.933018964617,898.5947492578006,697.9542667695006,605.5658582865559,555.7477579830631,392.8197160424403,294.21542040527964,258.5839573948757,213.28793505759464,nan,0,nan,0,nan,0,nan,0,nan,0
DErand1bin,F7,Run2,8473.424984225794,2699.3204844200322,1113.4931607703822,581.3443543843773,419.5295413051355,240.672940938815,160.77514150636935,130.60742111587595,103.94816500478505,93.43575191615703,81.79783346369572,nan,0,nan,0,nan,0,nan,0,nan,0
DErand1bin,F7,Run3,7786.699776835841,2222.93861538711,1214.2599330346,876.7945130074312,703.1153871809606,496.74862008695584,391.1088077578235,314.41103023116466,278.0553818679126,255.93284494360876,242.5590611012163,nan,0,nan,0,nan,0,nan,0,nan,0
DErand1bin,F7,Run4,8233.795966611206,2073.7114441777103,1087.6915419231545,906.8370031576301,777.7506673478983,637.1707524654572,429.4844031723018,392.2262244811036,361.60817862233137,298.27712604585884,237.58785277002963,nan,0,nan,0,nan,0,nan,0,nan,0
DErand1bin,F11,Run1,434.81035443243394,170.59166154202282,43.092193829559854,9.435759251795503,2.5497177001784337,0.7202666956804222,0.19613961365669752,0.04567512543631835,0.010532031236010653,0.002295502660672355,0.0006672907332898603,nan,0,321801.0,1,483801.0,1,nan,0,nan,0
DErand1bin,F11,Run2,444.893624335257,147.6924704730566,37.50703908576402,12.78415142656661,2.7093879576934086,0.7599383740860617,0.2233654020624556,0.05884644052304111,0.02048775724389884,0.00594811916293736,0.0016026309778567338,nan,0,328101.0,1,nan,0,nan,0,nan,0
DErand1bin,F11,Run3,475.2697844045074,174.1797569389087,49.86581062000753,12.457293032219525,3.672640442435835,0.9484252139536551,0.20469972230802114,0.055959637295899256,0.01265468873930331,0.0028501643080147687,0.0006964433919307567,nan,0,325801.0,1,489901.0,1,nan,0,nan,0
DErand1bin,F11,Run4,420.51085684303666,143.53531619194985,34.31441620493928,14.346606010171584,4.718046925156472,1.051567293974145,0.24260877968829675,0.06369416921413062,0.020081885873935335,0.004690907312493664,0.00133353182182816,nan,0,337001.0,1,nan,0,nan,0,nan,0
DErand1bin,F17,Run1,29969.924167371348,13220.069401760686,7518.478285861074,3716.636822982232,1972.7347255912146,1279.392000739529,1019.863200732623,947.8523562381678,822.2647498188303,708.7295732576241,612.912295984162,nan,0,nan,0,nan,0,nan,0,nan,0
DErand1bin,F17,Run2,33848.66326200092,11549.675932802866,5776.035704492347,4202.636522099632,2448.869400777219,1707.67541001242,982.1389676942282,803.8181168359915,679.7063622421496,587.7929225609951,513.5959645907978,nan,0,nan,0,nan,0,nan,0,nan,0
DErand1bin,F17,Run3,31471.22030950297,12769.31253620795,4375.642885038968,2895.775415960902,1856.3813690082884,1521.0189606110512,1237.024260579715,910.4345191790426,884.1520269648778,667.400383453522,583.1506798976305,nan,0,nan,0,nan,0,nan,0,nan,0
DErand1bin,F17,Run4,33666.153393967696,11501.230349037298,6155.05230340986,3681.479791123459,1599.8901839655882,1059.7344082204793,843.2119322608216,694.4293052651736,614.1850907716299,556.5364164657494,540.6251372097339,nan,0,nan,0,nan,0,nan,0,nan,0
DErand1bin,F23,Run1,23.184398574268442,19.412346201186963,17.894326526609134,16.045267165015346,15.12721130227132,14.763029965572272,13.514406420558387,13.096659195694329,12.790818402722621,11.71836294940266,10.941159128805864,nan,0,nan,0,nan,0,nan,0,nan,0
DErand1bin,F23,Run2,24.00222455528271,20.426697012695143,19.515958737125843,18.70447514099253,17.545097642260146,16.409610275209957,15.502807210746482,15.231724805409556,14.18076019822719,13.443116721209307,12.92450010154164,nan,0,nan,0,nan,0,nan,0,nan,0
DErand1bin,F23,Run3,24.94657613050684,20.612638161656108,19.43223205647176,17.682581148154085,16.874409413730376,15.811384924179606,15.009219468858547,13.592754815484994,12.959248357489898,12.641977556647134,11.851899813799278,nan,0,nan,0,nan,0,nan,0,nan,0
DErand1bin,F23,Run4,24.666961284051183,21.30959636493094,19.493605546753145,17.5302026496515,15.944742038050705,15.129381913112837,14.710065586459507,13.641566833731417,13.1766202561071,12.340689897823665,12.340689897823665,nan,0,nan,0,nan,0,nan,0,nan,0
