Algorithm,Problem,Run,Error_10K,Error_50K,Error_100K,Error_150K,Error_200K,Error_250K,Error_300K,Error_350K,Error_400K,Error_450K,Error_500K,Acceptance_FE_1e-8,Success_1e-8,FE_to_1e-01,Success_1e-01,FE_to_1e-03,Success_1e-03,FE_to_1e-05,Success_1e-05,FE_to_1e-08,Success_1e-08
DErand1bin,F1,Run1,59.43928680926298,2.0329591786894525,0.033286947439151504,0.00048787681429018903,8.017688756467578e-06,1.5175307055415033e-07,0.0,0.0,0.0,0.0,0.0,272601.0,1,86601.0,1,142801.0,1,196801.0,1,272601.0,1
DErand1bin,F1,Run2,56.058475540659366,2.3383091356211594,0.03926971287559411,0.0006377966189887729,1.0474910880020616e-05,1.4852157903533225e-07,0.0,0.0,0.0,0.0,0.0,271001.0,1,89301.0,1,143601.0,1,200101.0,1,271001.0,1
DErand1bin,F7,Run1,8113.61825191278,2707.3748075247813,1198.933018964617,898.5947492578006,697.9542667695006,605.5658582865559,555.7477579830631,392.8197160424403,294.21542040527964,258.5839573948757,213.28793505759464,nan,0,nan,0,nan,0,nan,0,nan,0
DErand1bin,F7,Run2,8473.424984225794,2699.3204844200322,1113.4931607703822,581.3443543843773,419.5295413051355,240.672940938815,160.77514150636935,130.60742111587595,103.94816500478505,93.43575191615703,81.79783346369572,nan,0,nan,0,nan,0,nan,0,nan,0
